PID,Name of Project,Description,Sponsor-Full,Sponsor-Abb,System,WaterManagement,SoilNutrientandLandManagem,GeneticResources,EnergyManagement,OtherThematicAreas,org_type,ImplementingAgencies,Region,District,Community,Status,Year Approved,Year Completed,Link,CSA Technology,Contact Person,Contact Number,Commodity/Livestock,Beneficiaries,subcategory,Agro-ecological suitability of practices (e.g. drought-tolerant varieties),"If Yes, How?",Soil fertility management techniques suited to soil types ,"If Yes, How?.1",Climate forecasting and early warning systems,"If Yes, How?.2",Access to input and output markets ,"If Yes, How?.3",Financial capital/credit availability,"If Yes, How?.4","Rural infrastructure (roads, irrigation, electricity)","If Yes, How?.5",Education/training programs building farmer skills,"If Yes, How?.6",Community cooperative models for resources/labor sharing,"If Yes, How?.7"
P501, Feed the Future Innovation Lab for Small-Scale Irrigation (ILSSI),"The project aims to benefit farmers in Ethiopia, Ghana, and Tanzania by improving the effective use of scarce
water supplies through interventions in small-scale irrigation. It is a part of the U.S. government’s Feed the Future Initiative. The project is led by the Norman Borlaug Institute for International Agriculture at Texas A&M University.","United States Agency for International Development, 
CGIAR Rearch Program on Water, Land and Ecosystems ","USAID, CGIAR WLE",Crop Production,Yes,No,No,No,No,ngo,"The Texas A&M University System (Lead Institution),
International Food Policy Research Institute (IFPRI),
International Livestock Research Institute (ILRI),
International Water Management Institute (IWMI),
North Carolina A&T State University (NCA&T),
The World Vegetable Center.",Northern Region,No,No,Ongiong,2013,2023,https://www.ifpri.org/project/ilssi,"solar-powered pumps, 
soil-moisture tools, conservation agriculture practices, motor pumps, treadle pumps, ",,,,"690,000 smallholder farmers, 28567 Hectares under new, improved or rehabilitated irrigation and drainage 
services, 6522 households, 7220 individuals received food security training, and 6287 individuals applied improved management practices.",Farming System,,,No,,No,,Yes,,Yes,,,,Yes,,,
P502,Southern Horticulture Zones Project,"ACDI/VOCA worked to increase agricultural productivity, high-value commercial and basic food crop production, and private-sector investment in agriculture to boost farmers’ incomes and improve overall community well-being.",The Millennium Challenge Account  Ghana,MCA,Crop Production,No,Yes,No,No,No,ngo,ACDI-VOCA,,,,,,,"Southern Horticulture
 Zones Project - ACDI/VOCA (acdivoca.org)",-------------------,,," maize, rice, and soybean","Trained 286 FBOs and 12,832 farmers and facilitated agreements between the FBOs and 9 different buyers",Farming System,,,,,,,,,,,,,,,,
P503,"""Far Ban Bo"" Protecting Fisheries Livelihoods","The Far Ban Bo project is designed to address the challenges of overfishing and unsustainable fishing, including Illegal, Unreported and Unregulated (IUU) fishing, low compliance and weak capacity for law enforcement within the sector. ",The European Union,EU,Fisheries and Aquaculture ,No,No,No,No,"Yes - Addresses overfishing 
and unsustainable fishing practices",ngo,"CARE DENMARK, Friends of Nation and Oxfam",Central Region,"Awutu Senya, Gomoa East, Gomoa West, Effutu Municipal, Ekumfi District, Mfantseman Municipal, Abura Asebu Kwamankese, Cape Coast Municipal, Komenda-Edina Eguafo-Abrem
",No,Completed,2017,2021,https://www.eeas.europa.eu/sites/default/files/43._sd_far_ban_bo.pdf,--------,,,,"13,500 vulnerable smallholder fishers and users of fishery resources, 26 communties, and  48452 online audiences.",Fisheries,,,No,,No,,No,,No,,No,,Yes,"1. Business development training.
2. Training for Fisheries Zonal Officers, Judicial Services staff ( judges and Magistrates) and training marine Police
3. Training on the VGGT and the IUU ",,
P503,"""Far Ban Bo"" Protecting Fisheries Livelihoods","The Far Ban Bo project is designed to address the challenges of overfishing and unsustainable fishing, including Illegal, Unreported and Unregulated (IUU) fishing, low compliance and weak capacity for law enforcement within the sector. ",The European Union,EU,Fisheries and Aquaculture ,No,No,No,No,"Yes - Addresses overfishing 
and unsustainable fishing practices",ngo,"CARE DENMARK, Friends of Nation and Oxfam",Greater Accra,"Ada East District


",No,Completed,2017,2021,https://www.eeas.europa.eu/sites/default/files/43._sd_far_ban_bo.pdf,--------,,,,"13,500 vulnerable smallholder fishers and users of fishery resources, 26 communties, and  48452 online audiences.",Fisheries,,,No,,No,,No,,No,,No,,Yes,"1. Business development training.
2. Training for Fisheries Zonal Officers, Judicial Services staff ( judges and Magistrates) and training marine Police
3. Training on the VGGT and the IUU ",,
P503,"""Far Ban Bo"" Protecting Fisheries Livelihoods","The Far Ban Bo project is designed to address the challenges of overfishing and unsustainable fishing, including Illegal, Unreported and Unregulated (IUU) fishing, low compliance and weak capacity for law enforcement within the sector. ",The European Union,EU,Fisheries and Aquaculture ,No,No,No,No,"Yes - Addresses overfishing 
and unsustainable fishing practices",ngo,"CARE DENMARK, Friends of Nation and Oxfam",Volta Region,Keta District,No,Completed,2017,2021,https://www.eeas.europa.eu/sites/default/files/43._sd_far_ban_bo.pdf,--------,,,,"13,500 vulnerable smallholder fishers and users of fishery resources, 26 communties, and  48452 online audiences.",Fisheries,,,No,,No,,No,,No,,No,,Yes,"1. Business development training.
2. Training for Fisheries Zonal Officers, Judicial Services staff ( judges and Magistrates) and training marine Police
3. Training on the VGGT and the IUU ",,
P503,"""Far Ban Bo"" Protecting Fisheries Livelihoods","The Far Ban Bo project is designed to address the challenges of overfishing and unsustainable fishing, including Illegal, Unreported and Unregulated (IUU) fishing, low compliance and weak capacity for law enforcement within the sector. ",The European Union,EU,Fisheries and Aquaculture ,No,No,No,No,"Yes - Addresses overfishing 
and unsustainable fishing practices",ngo,"CARE DENMARK, Friends of Nation and Oxfam",Western Region,Not stated,No,Completed,2017,2021,https://www.eeas.europa.eu/sites/default/files/43._sd_far_ban_bo.pdf,--------,,,,"13,500 vulnerable smallholder fishers and users of fishery resources, 26 communties, and  48452 online audiences.",Fisheries,,,No,,No,,No,,No,,No,,Yes,"1. Business development training.
2. Training for Fisheries Zonal Officers, Judicial Services staff ( judges and Magistrates) and training marine Police
3. Training on the VGGT and the IUU ",,
P504,(ICRAF - WA) Building Resilient Agro-Sylvo-Pastoral Systems In West Africa Through Participatory Action Research (BRAS-PAR).,"The CGIAR program on climate change, agriculture and food security (CCAFS) has provided 
financial support for the implementation of the project entitled “Building resilient agrosylvo-pastoral systems in West Africa through participatory action research”. This project is 
being implemented by ICRAF (Lead), ILRI, IUCN, INERA (Burkina Faso), INRAN (Niger), 
CSIR/SARI (Ghana) and ISRA (Senegal).",Consultative Group on International Agricultural Research,CGIAR ,Crop/Livestock Production ,Yes ,Yes,Yes,No,Yes - Integrated Production System,ngo,"ICRAF, ILRI, and CCAFS West Africa",Upper West Region,"Jirapa Municipality, Lawra Municipal District","Doggoh, Bompari ",Completed,2015,2018,"https://ccafs.cgiar.org/research/
projects/icraf-wa-building-
resilient-agro-sylvo-pastoral-
systems-west-africa-through","stone lining, tied ridges, compost production and use, crop residue retention, planting pits (zaï), grafting, 
minimum tillage, mulching, earth-bunds, improved crop varieties, crop rotation, intercropping, pruning, tree planting,
water management, integrated use of organic and inorganic fertilizers, Improved housing, supplementary feeding (Acacia fruits), crop residue retention, improved breeds, ","Jules Bayala (ICRAF) at j.bayala@cgiar.org  

Augustine Ayantunde (CIFOR) at a.ayantunde@cgiar.org.",,"maize, cowpea, soybean, groundnut, sorghum, mango, cashew
Goats, sheep and pigs",,Farming System,,,Yes,Training on CSA technologies,,,Yes,"1. farmer receives a couple of 
small ruminants and raise them until the couple reproduce and he passes the younger animals to 
another fellow farmer to continue the cycle.
1,243 seedlings (590 for Moringa + 653 for cashew) ",No,,No,,Yes,"165 farmers (98 males and 67 females)  have so 
far been trained on nursery and tree maintenance and management.",Yes,Farmer to farmer information sharing. 
P505,"A landscape approach 
to climate-smart 
agriculture in Ghana","Rainforest Alliance developed a landscape-level project centred on sustainable practices 
that conserve biodiversity, increase productivity, and provide greater long-term stability to all 
value chain participants and increase the income of smallholder farmers. The goal was to 
create a sustainable landscape that harnessed the transformative power of markets. ","United States Agency 
for International Development and the Norwegian Agency 
for Development Cooperation, Olam International ","USAID, Norwegian Agency 
for Development Cooperation, Olam International ",Forestry,No,No,No,No,"Yes - Sustainable Practices (A landscape Approach), Supply chain",ngo,"Rainforest Alliance, Wildlife Division of the Ministry of Lands and Natural Resources",Western North Region,Juabeso-Bia District,No,Completed,2010,2014,"3.3Noponen-Mensah-
Schroth-Hayward.pdf (rainforest-alliance.org)","Cocoa Agroforestry, enrichment planting","MARTIN R.A. NOPONEN, 
CHRISTIAN D.B. MENSAH, GÖTZ SCHROTH 
and JEFFREY HAYWARD",,"Cocoa
Bee, Cane rat, grasscutter, "," 2,000 farmers from 34 communities",Institutional,,,,,,,,,,,,,Yes ," Train the trainers approach-approximately 2,000 farmers from 34 communities,
Climate Education ",,
P506,Agricultural Development & Value Chain Enhancement (ADVANCE) Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.",U.S. Agency for International Development,USAID,Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,ngo,"ACDI-VOCA, ACDEP, PAB Consult and TechnoServe",North East Region,"Mamprugu Moagduri, West Mamprusi","
",Completed,2014,2020,"https://www.acdivoca.org/
projects/agricultural-
development-value-
chain-enhancement-
advance-project/","Plowing, Improved Varieties, fertilzer (organic and Inorganic)","Pearl Coleman Ackah
Private Sector Team Leader,
USAID/Ghana
packah@usaid.gov

Christel Tshikudi,
Chief of Party,
ADVANCE II Project
ctshikudi@acdivoca.org

Cecil Osei,
Technical Director-Value Chain Development
ADVANCE II Project
cosei@acdivocaghana.org",,"Maize, rice, and soybean","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ",Farming System,,,Yes,,,,Yes,"1. Provision of  fertilizer and seed credit. 
2. Plowing services
3. Mobility (tricycle or motorbikes)
4.Capital asset (tractors and shellers) and farm inputs for production",Yes,"1. Organizing in-community input promotions, taking advantage of VSLA share outs
2. Increasing the uptake of crop insurance 
3. Encouraging OGs’ to make savings to invest in production inputs
4. Scaling up the VSLA concept (200 more groups to reach another 5000 OGs in the coming 
year)
5. Promoting agricultural finance through tripartite arrangements involving buyers and 
Financial Institutions (FIs)
6. Linking OBs to FIs based on investment gaps
7. Upscale of Village Savings and Loans Associations",,,Yes ,"1. Good Agronomic Practices training
2. Post-harvest handling training
3. Quality Standards training
4. Fall Armyworm (FAW) training
5. Soybean utilization training
6. Community Fire Volunteer Squads training
7. Farming as a Business training
8. Service spraying provisions
9. Outgrower business management training
10. Pre-harvest Agribusiness Event
11. Trade Missions",Yes,Strengthen Community-based market systems
P506,Agricultural Development & Value Chain Enhancement (ADVANCE) Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.",U.S. Agency for International Development,USAID,Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,ngo,"ACDI-VOCA, ACDEP, PAB Consult and TechnoServe",Northern Region,"Bunkpurugu-Yunyoo, Chereponi, Gushiegu, Karaga, Mion, Nanumba North, Nanumba South, Savelugu Nanton, Saboba, Tamale Metropolitan, Yendi Municipal, Sawla-Tuna-Kalba, Bole, Central Gonja, Tatale Sanguli, Tolon, Zabzugu",,Completed,2014,2020,"https://www.acdivoca.org/
projects/agricultural-
development-value-
chain-enhancement-
advance-project/","Plowing, Improved Varieties, fertilzer (organic and Inorganic)","Pearl Coleman Ackah
Private Sector Team Leader,
USAID/Ghana
packah@usaid.gov

Christel Tshikudi,
Chief of Party,
ADVANCE II Project
ctshikudi@acdivoca.org

Cecil Osei,
Technical Director-Value Chain Development
ADVANCE II Project
cosei@acdivocaghana.org",,"Maize, rice, and soybean","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ",Farming System,,,Yes,,,,Yes,"1. Provision of  fertilizer and seed credit. 
2. Plowing services
3. Mobility (tricycle or motorbikes)
4.Capital asset (tractors and shellers) and farm inputs for production",Yes,"1. Organizing in-community input promotions, taking advantage of VSLA share outs
2. Increasing the uptake of crop insurance 
3. Encouraging OGs’ to make savings to invest in production inputs
4. Scaling up the VSLA concept (200 more groups to reach another 5000 OGs in the coming 
year)
5. Promoting agricultural finance through tripartite arrangements involving buyers and 
Financial Institutions (FIs)
6. Linking OBs to FIs based on investment gaps
7. Upscale of Village Savings and Loans Associations",,,Yes ,"1. Good Agronomic Practices training
2. Post-harvest handling training
3. Quality Standards training
4. Fall Armyworm (FAW) training
5. Soybean utilization training
6. Community Fire Volunteer Squads training
7. Farming as a Business training
8. Service spraying provisions
9. Outgrower business management training
10. Pre-harvest Agribusiness Event
11. Trade Missions",Yes,Strengthen Community-based market systems
